ID,Purpose,Length,Lanes,Clear,T OR D,Material,Span,Rel-L,
E1,HIGHWAY,?,2,N,THROUGH,WOOD,SHORT,S,
E2,HIGHWAY,1037,2,N,THROUGH,WOOD,SHORT,S,
E3,AQUEDUCT,?,1,N,THROUGH,WOOD,?,S,
E5,HIGHWAY,1000,2,N,THROUGH,WOOD,SHORT,S,
E6,HIGHWAY,?,2,N,THROUGH,WOOD,?,S,
E7,HIGHWAY,990,2,N,THROUGH,WOOD,MEDIUM,S,
E8,AQUEDUCT,1000,1,N,THROUGH,IRON,SHORT,S,
E9,HIGHWAY,1500,2,N,THROUGH,IRON,SHORT,S,
E10,AQUEDUCT,?,1,N,DECK,WOOD,?,S,
E11,HIGHWAY,1000,2,N,THROUGH,WOOD,MEDIUM,S,
E12,RR,?,2,N,DECK,WOOD,?,S,
E14,HIGHWAY,1200,2,N,THROUGH,WOOD,MEDIUM,S,
E13,HIGHWAY,?,2,N,THROUGH,WOOD,?,S,
E15,RR,?,2,N,THROUGH,WOOD,?,S,
E16,HIGHWAY,1030,2,N,THROUGH,IRON,MEDIUM,S-F,
E17,RR,1000,2,N,THROUGH,IRON,MEDIUM,?,
E18,RR,1200,2,N,THROUGH,IRON,SHORT,S,
E19,HIGHWAY,1000,2,N,THROUGH,WOOD,MEDIUM,S,
E20,HIGHWAY,1000,2,N,THROUGH,WOOD,MEDIUM,S,
E21,RR,?,2,?,THROUGH,IRON,?,?,
E23,HIGHWAY,1245,?,?,THROUGH,STEEL,LONG,F,
E22,HIGHWAY,1200,4,G,THROUGH,WOOD,SHORT,S,
E24,RR,?,2,G,?,STEEL,?,?,
E25,RR,?,2,G,?,STEEL,?,?,
E27,RR,?,2,G,THROUGH,STEEL,?,F,
E26,RR,1150,2,G,THROUGH,STEEL,MEDIUM,S,
E30,RR,?,2,G,THROUGH,STEEL,MEDIUM,F,
E29,HIGHWAY,1080,2,G,THROUGH,STEEL,MEDIUM,?,
E28,HIGHWAY,1000,2,G,THROUGH,STEEL,MEDIUM,S,
E32,HIGHWAY,?,2,G,THROUGH,IRON,MEDIUM,F,
E31,RR,1161,2,G,THROUGH,STEEL,MEDIUM,S,
E34,RR,4558,2,G,THROUGH,STEEL,LONG,F,
E33,HIGHWAY,1120,?,G,THROUGH,IRON,MEDIUM,F,
E36,HIGHWAY,?,2,G,THROUGH,IRON,SHORT,F,
E35,HIGHWAY,1000,2,G,THROUGH,STEEL,MEDIUM,F,
